index,ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,city,country,territory,dealsize,address,contactname,Customer Value,CLTV,Recency,Frequency,Monetary
12,10251,28.0,100.0,2,2800.0,2004-05-18,Shipped,2,5,2004,Motorcycles,95.0,S10_1678,Tekni Collectables Inc.,2015559350,Newark,USA,AMER,Medium,7476 Moss Rd.  ,William Brown,Low Value,199679.01,65,3,66559.67
13,10263,34.0,100.0,2,3400.0,2004-06-28,Shipped,2,6,2004,Motorcycles,95.0,S10_1678,Gift Depot Inc.,2035552570,Bridgewater,USA,AMER,Medium,25593 South Bay Ln.  ,Julie King,Low Value,237064.23,33,3,79021.41
14,10275,45.0,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95.0,S10_1678,La Rochelle Gifts,40.67.8555,Nantes,France,EMEA,Medium,"67, rue des Cinquante Otages  ",Janine Labrune,High Value,461729.46,7,4,153909.82
15,10285,36.0,100.0,6,3600.0,2004-08-27,Shipped,3,8,2004,Motorcycles,95.0,S10_1678,Marta's Replicas Co.,6175558555,Cambridge,USA,AMER,Medium,39323 Spinnaker Dr.  ,Marta Hernandez,Low Value,246658.16999999998,237,2,82219.39
16,10299,23.0,100.0,9,2300.0,2004-09-30,Shipped,3,9,2004,Motorcycles,95.0,S10_1678,"Toys of Finland, Co.",90-224 8555,Helsinki,Finland,EMEA,Small,Keskuskatu 45  ,Matti Karttunen,Low Value,267597.45,118,3,89199.15000000001
17,10309,41.0,100.0,5,4100.0,2004-10-15,Shipped,4,10,2004,Motorcycles,95.0,S10_1678,Baane Mini Imports,07-98 9555,Stavern,Norway,EMEA,Medium,Erling Skakkes gate 78  ,Jonas Bergulfsen,Low Value,285671.7,214,4,95223.90000000001
18,10318,46.0,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95.0,S10_1678,Diecast Classics Inc.,2155551555,Allentown,USA,AMER,Medium,7586 Pompton St.  ,Kyung Yu,Low Value,289134.81,8,4,96378.27
19,10329,42.0,100.0,1,4200.0,2004-11-15,Shipped,4,11,2004,Motorcycles,95.0,S10_1678,Land of Toys Inc.,2125557818,NYC,USA,AMER,Medium,897 Long Airport Avenue  ,Kwai Yu,High Value,416394.51,204,4,138798.17
20,10341,41.0,100.0,9,4100.0,2004-11-24,Shipped,4,11,2004,Motorcycles,95.0,S10_1678,Salzburg Collectables,6562-9555,Salzburg,Austria,EMEA,Large,Geislweg 14  ,Georg Pipps,High Value,366263.55000000005,21,4,122087.85
21,10361,20.0,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95.0,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,Chatswood,Australia,APAC,Small,"Monitor Money Building, 815 Pacific Hwy  Level 6",Adrian Huxley,High Value,399670.14,9,4,133223.38
22,10375,21.0,34.91,12,733.1099999999999,2005-02-03,Shipped,1,2,2005,Motorcycles,95.0,S10_1678,La Rochelle Gifts,40.67.8555,Nantes,France,EMEA,Small,"67, rue des Cinquante Otages  ",Janine Labrune,High Value,461729.46,7,4,153909.82
23,10388,42.0,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95.0,S10_1678,FunGiftIdeas.com,5085552555,New Bedford,USA,AMER,Medium,1785 First Street  ,Violeta Benitez,Low Value,231082.32,96,3,77027.44
24,10403,24.0,100.0,7,2400.0,2005-04-08,Shipped,2,4,2005,Motorcycles,95.0,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Liverpool,UK,EMEA,Small,Berkeley Gardens 12  Brewery  ,Elizabeth Devon,Low Value,256951.77,60,3,85650.59
25,10417,66.0,100.0,2,2800.0,2005-05-13,Disputed,2,5,2005,Motorcycles,95.0,S10_1678,Euro Shopping Channel,(91) 555 94 44,Madrid,Spain,EMEA,Large,"C/ Moralzarzal, 86  ",Diego Freyre,High Value,2274585.1500000004,7,26,758195.05
26,10103,26.0,100.0,11,2600.0,2003-01-29,Shipped,1,1,2003,Classic Cars,99.0,S10_1949,Baane Mini Imports,07-98 9555,Stavern,Norway,EMEA,Medium,Erling Skakkes gate 78  ,Jonas Bergulfsen,Low Value,285671.7,214,4,95223.90000000001
27,10112,29.0,100.0,1,2900.0,2003-03-24,Shipped,1,3,2003,Classic Cars,99.0,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Lule,Sweden,EMEA,Large,Berguvsvgen  8  ,Christina Berglund,Low Value,175122.63,200,4,58374.21
28,10126,38.0,100.0,11,3800.0,2003-05-28,Shipped,2,5,2003,Classic Cars,99.0,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Madrid,Spain,EMEA,Large,"C/ Araquil, 67  ",Mart¡n Sommer,Low Value,285730.26,218,3,95243.42
29,10140,37.0,100.0,11,3700.0,2003-07-24,Shipped,3,7,2003,Classic Cars,99.0,S10_1949,Technics Stores Inc.,6505556809,Burlingame,USA,AMER,Large,9408 Furth Circle  ,Juri Hirano,High Value,307467.39,153,4,102489.13
30,10150,45.0,100.0,8,4500.0,2003-09-19,Shipped,3,9,2003,Classic Cars,99.0,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,Singapore,Singapore,APAC,Large,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  ",Eric Natividad,High Value,393839.85000000003,97,5,131279.95
31,10163,21.0,100.0,1,2100.0,2003-10-20,Shipped,4,10,2003,Classic Cars,99.0,S10_1949,Classic Legends Inc.,2125558493,NYC,USA,AMER,Medium,5905 Pompton St.  Suite 750,Maria Hernandez,Low Value,192365.46,198,3,64121.82
32,10174,34.0,100.0,4,3400.0,2003-11-06,Shipped,4,11,2003,Classic Cars,99.0,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,South Brisbane,Australia,APAC,Large,31 Duncan St. West End  ,Tony Calaghan,Low Value,139197.54,125,3,46399.18
33,10183,23.0,100.0,8,2300.0,2003-11-13,Shipped,4,11,2003,Classic Cars,99.0,S10_1949,"Classic Gift Ideas, Inc",2155554695,Philadelphia,USA,AMER,Medium,782 First Street  ,Francisca Cervantes,Low Value,170399.94,236,2,56799.98
34,10194,42.0,100.0,11,4200.0,2003-11-25,Shipped,4,11,2003,Classic Cars,99.0,S10_1949,"Saveley & Henriot, Co.",78.32.5555,Lyon,France,EMEA,Large,"2, rue du Commerce  ",Mary Saveley,High Value,355740.69,462,3,118580.23
35,10206,47.0,100.0,6,4700.0,2003-12-05,Shipped,4,12,2003,Classic Cars,99.0,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,Vancouver,Canada,AMER,Large,1900 Oak St.  ,Yoshi Tannamuri,Low Value,181793.73,228,2,60597.91
36,10215,35.0,100.0,3,3500.0,2004-01-29,Shipped,1,1,2004,Classic Cars,99.0,S10_1949,West Coast Collectables Co.,3105553722,Burbank,USA,AMER,Medium,3675 Furth Circle  ,Steve Thompson,Low Value,124518.69,495,2,41506.23
37,10228,29.0,100.0,2,2900.0,2004-03-10,Shipped,1,3,2004,Classic Cars,99.0,S10_1949,Cambridge Collectables Co.,6175555555,Cambridge,USA,AMER,Medium,4658 Baden Av.  ,Kyung Tseng,Low Value,93442.10999999999,395,2,31147.37
38,10245,34.0,100.0,9,3400.0,2004-05-04,Shipped,2,5,2004,Classic Cars,99.0,S10_1949,Super Scale Inc.,2035559545,New Haven,USA,AMER,Medium,567 North Pendale Street  ,Leslie Murphy,Low Value,175239.99,399,2,58413.33
39,10258,32.0,100.0,6,3200.0,2004-06-15,Shipped,2,6,2004,Classic Cars,99.0,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,Minato-ku,Japan,APAC,Large,2-2-8 Roppongi  ,Akiko Shimamura,High Value,292368.12,46,4,97456.04
40,10270,21.0,100.0,9,2100.0,2004-07-19,Shipped,3,7,2004,Classic Cars,99.0,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,Chatswood,Australia,APAC,Medium,"Monitor Money Building, 815 Pacific Hwy  Level 6",Adrian Huxley,High Value,399670.14,9,4,133223.38
41,10280,34.0,100.0,2,3400.0,2004-08-17,Shipped,3,8,2004,Classic Cars,99.0,S10_1949,Amica Models & Co.,011-4988555,Torino,Italy,EMEA,Large,Via Monte Bianco 34  ,Paolo Accorti,Low Value,217935.02999999997,271,2,72645.01
42,10291,37.0,100.0,11,3700.0,2004-09-08,Shipped,3,9,2004,Classic Cars,99.0,S10_1949,Scandinavian Gift Ideas,0695-34 6555,Boras,Sweden,EMEA,Large,?kergatan 24  ,Maria Larsson,High Value,347669.67,96,3,115889.89
43,10304,47.0,100.0,6,4700.0,2004-10-11,Shipped,4,10,2004,Classic Cars,99.0,S10_1949,Auto Assoc. & Cie.,30.59.8555,Versailles,France,EMEA,Large,"67, avenue de l'Europe  ",Daniel Tonini,Low Value,160094.91,239,2,53364.97
44,10312,48.0,100.0,3,4800.0,2004-10-21,Shipped,4,10,2004,Classic Cars,99.0,S10_1949,Mini Gifts Distributors Ltd.,4155551450,San Rafael,USA,AMER,Large,5677 Strong St.  ,Valarie Nelson,High Value,1591761.5699999998,9,17,530587.19
45,10322,40.0,100.0,1,4000.0,2004-11-04,Shipped,4,11,2004,Classic Cars,99.0,S10_1949,Online Diecast Creations Co.,6035558647,Nashua,USA,AMER,Medium,2304 Long Airport Avenue  ,Valarie Young,High Value,304285.5,215,3,101428.5
46,10333,26.0,100.0,3,2600.0,2004-11-18,Shipped,4,11,2004,Classic Cars,99.0,S10_1949,Mini Wheels Co.,6505555787,San Francisco,USA,AMER,Medium,5557 North Pendale Street  ,Julie Murphy,Low Value,180729.84,201,3,60243.28
47,10347,30.0,100.0,1,3000.0,2004-11-29,Shipped,4,11,2004,Classic Cars,99.0,S10_1949,"Australian Collectors, Co.",03 9520 4555,Melbourne,Australia,APAC,Medium,636 St Kilda Road  Level 3,Peter Ferguson,High Value,493727.61,190,5,164575.87
48,10357,32.0,100.0,10,3200.0,2004-12-10,Shipped,4,12,2004,Classic Cars,99.0,S10_1949,Mini Gifts Distributors Ltd.,4155551450,San Rafael,USA,AMER,Medium,5677 Strong St.  ,Valarie Nelson,High Value,1591761.5699999998,9,17,530587.19
49,10369,41.0,100.0,2,4100.0,2005-01-20,Shipped,1,1,2005,Classic Cars,99.0,S10_1949,Collectables For Less Inc.,6175558555,Brickhaven,USA,AMER,Medium,7825 Douglas Av.  ,Allen Nelson,Low Value,201493.11,138,3,67164.37
50,10381,36.0,100.0,3,3600.0,2005-02-17,Shipped,1,2,2005,Classic Cars,99.0,S10_1949,Corporate Gift Ideas Co.,6505551386,San Francisco,USA,AMER,Large,7734 Strong St.  ,Julie Brown,High Value,356534.85,104,4,118844.95
51,10391,24.0,100.0,4,2400.0,2005-03-09,Shipped,1,3,2005,Classic Cars,99.0,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,North Sydney,Australia,APAC,Small,201 Miller Street  Level 15,Anna O'Hara,High Value,363781.23,90,4,121260.41
52,10411,23.0,100.0,9,2300.0,2005-05-01,Shipped,2,5,2005,Classic Cars,99.0,S10_1949,Quebec Home Shopping Network,(514) 555-8054,Montreal,Canada,AMER,Medium,43 rue St. Laurent  ,Jean Fresnisre,Low Value,184242.3,37,3,61414.1
53,10424,50.0,100.0,6,5000.0,2005-05-31,In Process,2,5,2005,Classic Cars,99.0,S10_1949,Euro Shopping Channel,(91) 555 94 44,Madrid,Spain,EMEA,Large,"C/ Moralzarzal, 86  ",Diego Freyre,High Value,2274585.1500000004,7,26,758195.05
54,10107,39.0,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118.0,S10_2016,Land of Toys Inc.,2125557818,NYC,USA,AMER,Medium,897 Long Airport Avenue  ,Kwai Yu,High Value,416394.51,204,4,138798.17
55,10120,29.0,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118.0,S10_2016,"Australian Collectors, Co.",03 9520 4555,Melbourne,Australia,APAC,Small,636 St Kilda Road  Level 3,Peter Ferguson,High Value,493727.61,190,5,164575.87
56,10134,27.0,100.0,5,2700.0,2003-07-01,Shipped,3,7,2003,Motorcycles,118.0,S10_2016,Lyon Souveniers,+33 1 46 62 7555,Paris,France,EMEA,Medium,27 rue du Colonel Pierre Avia  ,Daniel Da Cunha,Low Value,177410.09999999998,82,3,59136.7
57,10145,37.0,100.0,9,3700.0,2003-08-25,Shipped,3,8,2003,Motorcycles,118.0,S10_2016,Toys4GrownUps.com,6265557265,Pasadena,USA,AMER,Medium,78934 Hillside Dr.  ,Julie Young,Low Value,258674.84999999998,146,3,86224.95
58,10159,37.0,100.0,17,3700.0,2003-10-10,Shipped,4,10,2003,Motorcycles,118.0,S10_2016,Corporate Gift Ideas Co.,6505551386,San Francisco,USA,AMER,Medium,7734 Strong St.  ,Julie Brown,High Value,356534.85,104,4,118844.95
59,10168,27.0,100.0,4,2700.0,2003-10-28,Shipped,4,10,2003,Motorcycles,118.0,S10_2016,Technics Stores Inc.,6505556809,Burlingame,USA,AMER,Medium,9408 Furth Circle  ,Juri Hirano,High Value,307467.39,153,4,102489.13
60,10180,42.0,100.0,12,4200.0,2003-11-11,Shipped,4,11,2003,Motorcycles,118.0,S10_2016,Daedalus Designs Imports,20.16.1555,Lille,France,EMEA,Medium,"184, chausse de Tournai  ",Martine Rance,Low Value,170569.16999999998,472,2,56856.39
61,10188,38.0,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118.0,S10_2016,Herkku Gifts,+47 2267 3215,Bergen,Norway,EMEA,Medium,"Drammen 121, PR 744 Sentrum  ",Veysel Oeztan,Low Value,259017.33000000002,277,3,86339.11
62,10201,24.0,100.0,5,2400.0,2003-12-01,Shipped,4,12,2003,Motorcycles,118.0,S10_2016,Mini Wheels Co.,6505555787,San Francisco,USA,AMER,Medium,5557 North Pendale Street  ,Julie Murphy,Low Value,180729.84,201,3,60243.28
63,10210,23.0,100.0,2,2300.0,2004-01-12,Shipped,1,1,2004,Motorcycles,118.0,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,Japan,APAC,Medium,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  ",Mory Kentary,Low Value,166861.95,420,2,55620.65
64,10223,47.0,100.0,4,4700.0,2004-02-20,Shipped,1,2,2004,Motorcycles,118.0,S10_2016,"Australian Collectors, Co.",03 9520 4555,Melbourne,Australia,APAC,Medium,636 St Kilda Road  Level 3,Peter Ferguson,High Value,493727.61,190,5,164575.87
65,10236,22.0,100.0,1,2200.0,2004-04-03,Shipped,2,4,2004,Motorcycles,118.0,S10_2016,Motor Mint Distributors Inc.,2155559857,Philadelphia,USA,AMER,Small,11328 Douglas Av.  ,Rosa Hernandez,Low Value,189274.38,202,3,63091.46
66,10251,44.0,100.0,5,4400.0,2004-05-18,Shipped,2,5,2004,Motorcycles,118.0,S10_2016,Tekni Collectables Inc.,2015559350,Newark,USA,AMER,Medium,7476 Moss Rd.  ,William Brown,Low Value,199679.01,65,3,66559.67
67,10263,40.0,100.0,5,4000.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118.0,S10_2016,Gift Depot Inc.,2035552570,Bridgewater,USA,AMER,Medium,25593 South Bay Ln.  ,Julie King,Low Value,237064.23,33,3,79021.41
68,10275,22.0,100.0,4,2200.0,2004-07-23,Shipped,3,7,2004,Motorcycles,118.0,S10_2016,La Rochelle Gifts,40.67.8555,Nantes,France,EMEA,Small,"67, rue des Cinquante Otages  ",Janine Labrune,High Value,461729.46,7,4,153909.82
69,10285,47.0,100.0,9,4700.0,2004-08-27,Shipped,3,8,2004,Motorcycles,118.0,S10_2016,Marta's Replicas Co.,6175558555,Cambridge,USA,AMER,Medium,39323 Spinnaker Dr.  ,Marta Hernandez,Low Value,246658.16999999998,237,2,82219.39
70,10298,39.0,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118.0,S10_2016,Atelier graphique,40.32.2555,Nantes,France,EMEA,Medium,"54, rue Royale  ",Carine Schmitt,Low Value,63639.479999999996,194,3,21213.16
71,10308,34.0,100.0,2,3400.0,2004-10-15,Shipped,4,10,2004,Motorcycles,118.0,S10_2016,Mini Classics,9145554562,White Plains,USA,AMER,Medium,3758 North Pendale Street  ,Steve Frick,Low Value,220951.44,235,2,73650.48
72,10318,45.0,100.0,4,4500.0,2004-11-02,Shipped,4,11,2004,Motorcycles,118.0,S10_2016,Diecast Classics Inc.,2155551555,Allentown,USA,AMER,Medium,7586 Pompton St.  ,Kyung Yu,Low Value,289134.81,8,4,96378.27
73,10329,20.0,100.0,2,2000.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118.0,S10_2016,Land of Toys Inc.,2125557818,NYC,USA,AMER,Medium,897 Long Airport Avenue  ,Kwai Yu,High Value,416394.51,204,4,138798.17
74,10339,40.0,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118.0,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,Minato-ku,Japan,APAC,Small,2-2-8 Roppongi  ,Akiko Shimamura,High Value,292368.12,46,4,97456.04
75,10361,26.0,51.15,8,1329.8999999999999,2004-12-17,Shipped,4,12,2004,Motorcycles,118.0,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,Chatswood,Australia,APAC,Small,"Monitor Money Building, 815 Pacific Hwy  Level 6",Adrian Huxley,High Value,399670.14,9,4,133223.38
76,10374,39.0,100.0,5,3900.0,2005-02-02,Shipped,1,2,2005,Motorcycles,118.0,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,South Brisbane,Australia,APAC,Medium,31 Duncan St. West End  ,Tony Calaghan,Low Value,139197.54,125,3,46399.18
77,10388,50.0,44.51,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118.0,S10_2016,FunGiftIdeas.com,5085552555,New Bedford,USA,AMER,Small,1785 First Street  ,Violeta Benitez,Low Value,231082.32,96,3,77027.44
78,10402,45.0,100.0,1,4500.0,2005-04-07,Shipped,2,4,2005,Motorcycles,118.0,S10_2016,Auto Canal Petit,(1) 47.55.6555,Paris,France,EMEA,Medium,"25, rue Lauriston  ",Dominique Perrier,Low Value,239572.80000000002,61,3,79857.6
79,10417,45.0,100.0,5,4500.0,2005-05-13,Disputed,2,5,2005,Motorcycles,118.0,S10_2016,Euro Shopping Channel,(91) 555 94 44,Madrid,Spain,EMEA,Medium,"C/ Moralzarzal, 86  ",Diego Freyre,High Value,2274585.1500000004,7,26,758195.05
80,10107,27.0,100.0,4,2700.0,2003-02-24,Shipped,1,2,2003,Motorcycles,193.0,S10_4698,Land of Toys Inc.,2125557818,NYC,USA,AMER,Medium,897 Long Airport Avenue  ,Kwai Yu,High Value,416394.51,204,4,138798.17
81,10120,46.0,100.0,2,4600.0,2003-04-29,Shipped,2,4,2003,Motorcycles,193.0,S10_4698,"Australian Collectors, Co.",03 9520 4555,Melbourne,Australia,APAC,Large,636 St Kilda Road  Level 3,Peter Ferguson,High Value,493727.61,190,5,164575.87
82,10134,31.0,100.0,4,3100.0,2003-07-01,Shipped,3,7,2003,Motorcycles,193.0,S10_4698,Lyon Souveniers,+33 1 46 62 7555,Paris,France,EMEA,Large,27 rue du Colonel Pierre Avia  ,Daniel Da Cunha,Low Value,177410.09999999998,82,3,59136.7
83,10145,33.0,100.0,8,3300.0,2003-08-25,Shipped,3,8,2003,Motorcycles,193.0,S10_4698,Toys4GrownUps.com,6265557265,Pasadena,USA,AMER,Medium,78934 Hillside Dr.  ,Julie Young,Low Value,258674.84999999998,146,3,86224.95
84,10159,22.0,100.0,16,2200.0,2003-10-10,Shipped,4,10,2003,Motorcycles,193.0,S10_4698,Corporate Gift Ideas Co.,6505551386,San Francisco,USA,AMER,Medium,7734 Strong St.  ,Julie Brown,High Value,356534.85,104,4,118844.95
85,10168,20.0,100.0,3,2000.0,2003-10-28,Shipped,4,10,2003,Motorcycles,193.0,S10_4698,Technics Stores Inc.,6505556809,Burlingame,USA,AMER,Medium,9408 Furth Circle  ,Juri Hirano,High Value,307467.39,153,4,102489.13
86,10180,41.0,100.0,11,4100.0,2003-11-11,Shipped,4,11,2003,Motorcycles,193.0,S10_4698,Daedalus Designs Imports,20.16.1555,Lille,France,EMEA,Large,"184, chausse de Tournai  ",Martine Rance,Low Value,170569.16999999998,472,2,56856.39
87,10188,45.0,100.0,3,4500.0,2003-11-18,Shipped,4,11,2003,Motorcycles,193.0,S10_4698,Herkku Gifts,+47 2267 3215,Bergen,Norway,EMEA,Large,"Drammen 121, PR 744 Sentrum  ",Veysel Oeztan,Low Value,259017.33000000002,277,3,86339.11
88,10201,49.0,100.0,4,4900.0,2003-12-01,Shipped,4,12,2003,Motorcycles,193.0,S10_4698,Mini Wheels Co.,6505555787,San Francisco,USA,AMER,Large,5557 North Pendale Street  ,Julie Murphy,Low Value,180729.84,201,3,60243.28
89,10210,34.0,100.0,1,3400.0,2004-01-12,Shipped,1,1,2004,Motorcycles,193.0,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,Japan,APAC,Medium,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  ",Mory Kentary,Low Value,166861.95,420,2,55620.65
90,10223,49.0,100.0,3,4900.0,2004-02-20,Shipped,1,2,2004,Motorcycles,193.0,S10_4698,"Australian Collectors, Co.",03 9520 4555,Melbourne,Australia,APAC,Large,636 St Kilda Road  Level 3,Peter Ferguson,High Value,493727.61,190,5,164575.87
91,10237,39.0,100.0,9,3900.0,2004-04-05,Shipped,2,4,2004,Motorcycles,193.0,S10_4698,Vitachrome Inc.,2125551500,NYC,USA,AMER,Large,2678 Kingston Rd.  Suite 101,Michael Frick,Low Value,202534.11,214,3,67511.37
92,10251,43.0,100.0,4,4300.0,2004-05-18,Shipped,2,5,2004,Motorcycles,193.0,S10_4698,Tekni Collectables Inc.,2015559350,Newark,USA,AMER,Large,7476 Moss Rd.  ,William Brown,Low Value,199679.01,65,3,66559.67
93,10263,41.0,100.0,4,4100.0,2004-06-28,Shipped,2,6,2004,Motorcycles,193.0,S10_4698,Gift Depot Inc.,2035552570,Bridgewater,USA,AMER,Large,25593 South Bay Ln.  ,Julie King,Low Value,237064.23,33,3,79021.41
94,10275,36.0,100.0,3,3600.0,2004-07-23,Shipped,3,7,2004,Motorcycles,193.0,S10_4698,La Rochelle Gifts,40.67.8555,Nantes,France,EMEA,Medium,"67, rue des Cinquante Otages  ",Janine Labrune,High Value,461729.46,7,4,153909.82
95,10285,27.0,100.0,8,2700.0,2004-08-27,Shipped,3,8,2004,Motorcycles,193.0,S10_4698,Marta's Replicas Co.,6175558555,Cambridge,USA,AMER,Medium,39323 Spinnaker Dr.  ,Marta Hernandez,Low Value,246658.16999999998,237,2,82219.39
96,10299,29.0,100.0,11,2900.0,2004-09-30,Shipped,3,9,2004,Motorcycles,193.0,S10_4698,"Toys of Finland, Co.",90-224 8555,Helsinki,Finland,EMEA,Medium,Keskuskatu 45  ,Matti Karttunen,Low Value,267597.45,118,3,89199.15000000001
97,10308,20.0,100.0,1,2000.0,2004-10-15,Shipped,4,10,2004,Motorcycles,193.0,S10_4698,Mini Classics,9145554562,White Plains,USA,AMER,Medium,3758 North Pendale Street  ,Steve Frick,Low Value,220951.44,235,2,73650.48
98,10318,37.0,100.0,3,3700.0,2004-11-02,Shipped,4,11,2004,Motorcycles,193.0,S10_4698,Diecast Classics Inc.,2155551555,Allentown,USA,AMER,Large,7586 Pompton St.  ,Kyung Yu,Low Value,289134.81,8,4,96378.27
99,10329,26.0,100.0,3,2600.0,2004-11-15,Shipped,4,11,2004,Motorcycles,193.0,S10_4698,Land of Toys Inc.,2125557818,NYC,USA,AMER,Medium,897 Long Airport Avenue  ,Kwai Yu,High Value,416394.51,204,4,138798.17
100,10339,39.0,76.67,3,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,193.0,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,Minato-ku,Japan,APAC,Small,2-2-8 Roppongi  ,Akiko Shimamura,High Value,292368.12,46,4,97456.04
101,10362,22.0,100.0,4,2200.0,2005-01-05,Shipped,1,1,2005,Motorcycles,193.0,S10_4698,Technics Stores Inc.,6505556809,Burlingame,USA,AMER,Medium,9408 Furth Circle  ,Juri Hirano,High Value,307467.39,153,4,102489.13
